idn	akten-nr
1280497572                         	HABV_91_1_1215              
1280497580                         	HABV_91_1_1216              
1280497599                         	HABV_91_1_1218              
1280497602                         	HABV_91_1_1221              
1280497610                         	HABV_91_1_1224              
1280497629                         	HABV_91_1_1225              
1280497637                         	HABV_91_1_1226              
1280497645                         	HABV_91_1_1227              
1280497653                         	HABV_91_1_1229              
1280497661                         	HABV_91_1_1230              
128049767X                         	HABV_91_1_1233              
1280497688                         	HABV_91_1_1234              
1280497696                         	HABV_91_1_1235              
128049770X                         	HABV_91_1_1238              
1280497718                         	HABV_91_1_1241              
1280497726                         	HABV_91_1_1242              
1280497734                         	HABV_91_1_1244              
1280497742                         	HABV_91_1_1246              
1280497750                         	HABV_91_1_1248              
1280497769                         	HABV_91_1_1249              
1280497777                         	HABV_91_1_1251              
1280497785                         	HABV_91_1_1253              
1280497793                         	HABV_91_1_1254              
1280497807                         	HABV_91_1_1267              
1280497815                         	HABV_91_1_1269              
1280497823                         	HABV_91_1_1270              
1280497831                         	HABV_91_1_1271              
128049784X                         	HABV_91_1_1272              
1280497858                         	HABV_91_1_1275              
1280497866                         	HABV_91_1_1276              
1280497874                         	HABV_91_1_1278              
1280497882                         	HABV_91_1_1280              
1280497890                         	HABV_91_1_1281              
1280497904                         	HABV_91_1_1284              
1280497912                         	HABV_91_1_1285              
1280497920                         	HABV_91_1_1288              
1280497939                         	HABV_91_1_1289              
1280497947                         	HABV_91_1_1290              
1280497955                         	HABV_91_1_1291              
1280497963                         	HABV_91_1_1294              
1280497971                         	HABV_91_1_1295              
128049798X                         	HABV_91_1_1296              
1280497998                         	HABV_91_1_1297              
1280498005                         	HABV_91_1_1300              
1280498013                         	HABV_91_1_1302              
1280498021                         	HABV_91_1_1306              
128049803X                         	HABV_91_1_1307              
1280498048                         	HABV_91_1_1312              
1280498056                         	HABV_91_1_1314              
1280498064                         	HABV_91_1_1315              
1280498072                         	HABV_91_1_1316              
1280498080                         	HABV_91_1_1317              
1280498099                         	HABV_91_1_1318              
1280498102                         	HABV_91_1_1320              
1280498110                         	HABV_91_1_1321              
1280498129                         	HABV_91_1_1322              
1280498137                         	HABV_91_1_1323              
1280498145                         	HABV_91_1_1324              
1280498153                         	HABV_91_1_1326              
1280498161                         	HABV_91_1_1329              
128049817X                         	HABV_91_1_1331              
1280498188                         	HABV_91_1_1332              
1280498196                         	HABV_91_1_1333              
128049820X                         	HABV_91_1_1334              
1280498218                         	HABV_91_1_1335              
1280498226                         	HABV_91_1_1336              
1280498234                         	HABV_91_1_1338              
